Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Liam Hendriks,Athletics,2,1,3.57,0,30,0,30,26,12,3,33,10,1.2,9.89,2.89,3.46,0.3,0.3,999,3548
Aaron Nola,Phillies,6,5,3.56,31,0,0,1,1,0,0,1,0,1.19,9.74,2.62,3.47,0,0,25.3,16149
James Paxton,Yankees,6,5,3.46,29,0,0,1,1,0,0,1,0,1.15,10.39,2.55,3.47,0,0,56,11828
Chris Archer,Pirates,6,5,3.66,32,0,0,1,1,0,0,1,0,1.23,9.54,2.74,3.47,0,0,136.1,6345
A.J. Minter,Braves,3,3,3.4,0,65,5,65,54,25,7,77,26,1.23,10.73,3.56,3.47,0.7,0.7,230.6,18655
Jeremy Jeffress,Brewers,3,3,3.45,0,65,1,65,59,25,6,69,25,1.3,9.54,3.52,3.47,0.6,0.7,304.7,9490
Luis Severino,Yankees,6,5,3.45,32,0,0,1,1,0,0,1,0,1.14,10.16,2.46,3.48,0,0,34,15890
Brad Hand,Indians,4,3,3.4,0,70,34,70,58,26,8,85,26,1.19,10.9,3.36,3.48,0.8,0.9,81.3,9111
Chris Paddack,Padres,3,2,3.51,15,0,0,1,1,0,0,1,0,1.15,9.3,2.25,3.49,0,0,464,sa875195
Lance McCullers Jr.,Astros,0,0,3.52,0,0,0,1,1,0,0,1,0,1.27,9.79,3.4,3.49,0,0,999,14120
Zach Britton,Yankees,3,2,3.19,0,60,2,60,55,21,4,57,25,1.34,8.56,3.73,3.51,0.7,0.8,443.5,3240
Danny Salazar,Indians,4,3,3.46,6,36,0,66,55,25,8,80,24,1.19,10.89,3.25,3.51,1.1,1.2,516,5867
Roberto Osuna,Astros,4,3,3.57,0,65,33,65,57,26,8,71,18,1.15,9.87,2.43,3.51,0.7,0.5,82,13764
Matt Strahm,Padres,4,3,3.38,0,75,2,75,62,28,8,88,28,1.2,10.6,3.35,3.52,0.7,0.7,413.3,13799
Ken Giles,Blue Jays,3,3,3.62,0,65,26,65,57,26,8,73,21,1.2,10.05,2.9,3.52,0.7,0.7,127.5,12910
Trevor Bauer,Indians,6,5,3.54,32,0,0,1,1,0,0,1,0,1.2,10.19,3.04,3.52,0,0,33.2,12703
Hector Rondon,Astros,3,2,3.61,0,55,0,55,48,22,6,61,18,1.21,10.03,2.98,3.52,0.5,0.4,582.2,2391
Will Harris,Astros,4,3,3.61,0,65,0,65,60,26,7,67,20,1.22,9.33,2.75,3.53,0.6,0.5,598.4,3192
Seth Lugo,Mets,3,3,3.57,0,60,1,60,56,24,7,61,16,1.2,9.13,2.41,3.53,0.4,0.3,478.4,12447
Drew Gagnon,Mets,2,1,3.5,0,30,0,30,27,12,3,32,9,1.2,9.59,2.82,3.53,0.3,0.1,999,12545
Charlie Morton,Rays,5,4,3.5,26,0,0,1,1,0,0,1,0,1.23,9.98,3.28,3.54,0,0,114.6,4676
Craig Stammen,Padres,4,4,3.6,0,75,4,75,70,30,8,75,24,1.25,9.01,2.86,3.54,0.6,0.4,558.6,7274
Aaron Loup,Padres,1,1,3.36,0,25,0,25,22,9,2,26,9,1.27,9.32,3.38,3.55,0.2,0.3,999,10343
Giovanny Gallegos,Cardinals,1,1,3.57,0,20,0,20,17,8,2,23,7,1.2,10.21,3.03,3.55,0.1,0.1,999,14986
Ross Stripling,Dodgers,6,4,3.53,11,31,0,82,76,32,10,81,20,1.17,8.96,2.21,3.55,1.3,1.1,235.3,13273
Justin Wilson,Mets,2,2,3.4,0,40,0,40,32,15,4,49,19,1.27,10.95,4.23,3.56,0.3,0.3,999,4301
Tony Watson,Giants,3,3,3.44,0,65,10,65,58,25,6,64,21,1.22,8.88,2.89,3.57,0.4,0.5,580.3,3132
Andrew Chafin,Diamondbacks,3,3,3.52,0,55,0,55,49,21,5,59,24,1.34,9.64,3.98,3.57,0.4,0.5,999,12988
