Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
163,"Eovaldi, Nathan",BOS,P,165.9,108,220,,162,,
164,"Hill, Rich",LAD,P,166.58,119,218,,162,,
165,"Ohtani, Shohei",LAA,UT,169.38,69,298,,162,,
166,"Porcello, Rick",BOS,P,170.45,136,214,,162,,
167,"Heaney, Andrew",LAA,P,171.1,133,225,,162,,
168,"Nimmo, Brandon",NYM,OF,172,97,224,,162,,
169,"Kikuchi, Yusei",SEA,P,172.42,96,263,,162,,
170,"Hernandez, Cesar",PHI,2B,174.02,116,295,,162,,
171,"Hosmer, Eric",SD,1B,175.43,135,225,,162,,
172,"Robertson, David",PHI,P,177.07,97,363,,162,,
173,"Bader, Harrison",STL,OF,178.46,111,285,,162,,
174,"Escobar, Eduardo",ARZ,"3B, SS",179.33,75,242,,162,,
175,"Andrus, Elvis",TEX,SS,182.2,111,274,,162,,
176,"Keuchel, Dallas",HOU,P,182.4,102,237,,162,,
177,"Ryu, Hyun-Jin",LAD,P,182.43,144,236,,162,,
178,"Vizcaino, Arodys",ATL,P,183.66,117,254,,162,,
179,"Schoop, Jonathan",MIN,2B,184.23,139,255,,162,,
180,"Perez, Salvador",KC,C,184.53,51,334,,144,,
181,"Meadows, Austin",TB,OF,187.13,139,264,,162,,
182,"Laureano, Ramon",OAK,OF,187.23,126,288,,162,,
183,"Smith, Will",SF,P,187.83,146,249,,162,,
184,"DeJong, Paul",STL,SS,188,148,263,,162,,
185,"Bradley, Archie",ARZ,P,190.76,136,283,,162,,
186,"Lester, Jon",CHC,P,191.73,147,292,,162,,
187,"Gurriel, Yuli",HOU,"1B, 3B",192.51,144,322,,162,,
188,"Voit, Luke",NYY,1B,192.91,107,294,,162,,
189,"Hampson, Garrett",COL,SS,193.79,125,285,,162,,
190,"Jansen, Danny",TOR,C,193.79,137,265,,162,,
191,"Winker, Jesse",CIN,OF,194.41,147,262,,162,,
192,"Quintana, Jose",CHC,P,195.94,140,246,,162,,
193,"Renfroe, Hunter",SD,OF,196.73,149,291,,162,,
194,"James, Josh",HOU,P,198.66,147,291,,162,,
195,"Eaton, Adam",WAS,OF,202.73,147,261,,162,,
196,"Dominguez, Seranthony",PHI,P,203.46,120,296,,162,,
197,"Hicks, Jordan",STL,P,203.55,137,296,,162,,
198,"Braun, Ryan",MLW,OF,203.65,137,273,,162,,
199,"Reyes, Alex",STL,P,204.44,141,286,,162,,
200,"Gausman, Kevin",ATL,P,204.51,145,281,,162,,
201,"Santana, Carlos",CLE,1B,205.29,129,283,,162,,
202,"Dickerson, Corey",PIT,OF,205.51,125,277,,162,,
203,"Gray, Jon",COL,P,206.78,150,284,,162,,
204,"Lucchesi, Joey",SD,P,209.86,159,302,,162,,
205,"Schwarber, Kyle",CHC,OF,210.95,159,330,,162,,
206,"Wendle, Joey",TB,"2B, 3B",211.57,160,294,,162,,
207,"Maeda, Kenta",LAD,P,215.76,162,288,,162,,
208,"Gomes, Yan",WAS,C,216.16,145,320,,162,,
209,"Arrieta, Jake",PHI,P,216.52,161,285,,162,,
210,"Martinez, Jose",STL,"1B, OF",218.03,150,342,,162,,
211,"Senzel, Nick",CIN,2B,220.34,148,312,,162,,
212,"Miller, Andrew",STL,P,221.51,121,423,,162,,
213,"Colome, Alex",CWS,P,222.73,160,420,,162,,
214,"Givens, Mychal",BAL,P,223.17,160,342,,162,,
215,"Newcomb, Sean",ATL,P,224.19,164,309,,162,,
216,"Marte, Ketel",ARZ,"2B, SS",225.02,166,298,,162,,
217,"Reyes, Franmil",SD,OF,225.35,126,362,,162,,
218,"Musgrove, Joe",PIT,P,225.48,164,358,,162,,
219,"Semien, Marcus",OAK,SS,226.54,164,296,,162,,
220,"Sano, Miguel",MIN,3B,226.6,74,340,,161,,
221,"Bradley Jr., Jackie",BOS,OF,227.19,158,325,,162,,
222,"Stripling, Ross",LAD,P,227.65,164,297,,162,,
223,"Strop, Pedro",CHC,P,228.04,135,512,,162,,
224,"Polanco, Jorge",MIN,SS,228.16,161,322,,162,,
225,"Skaggs, Tyler",LAA,P,230.36,129,313,,162,,
226,"Castillo, Welington",CWS,C,230.78,151,301,,162,,
227,"Adames, Willy",TB,SS,231.17,169,344,,162,,
228,"McHugh, Collin",HOU,P,232.04,145,456,,162,,
229,"Taylor, Chris",LAD,"SS, OF",232.77,184,327,,162,,
230,"Luzardo, Jesus",OAK,P,234.55,159,371,,162,,
231,"Smoak, Justin",TOR,1B,234.68,172,297,,162,,
232,"Gonzalez, Marwin",MIN,"1B, 2B, SS, OF",237.41,139,327,,162,,
233,"Whitley, Forrest",HOU,P,238.98,175,316,,162,,
234,"Minter, A.J.",ATL,P,239.36,157,332,,162,,
235,"Simmons, Andrelton",LAA,SS,239.98,159,330,,162,,
236,"Polanco, Gregory",PIT,OF,240.96,124,353,,160,,
237,"Bauers, Jake",CLE,"1B, OF",241.86,190,309,,162,,
238,"Wood, Alex",CIN,P,243,171,302,,162,,
239,"Zunino, Mike",TB,C,243.02,156,328,,162,,
240,"Alfaro, Jorge",MIA,C,243.06,159,327,,162,,
241,"May, Trevor",MIN,P,243.1,159,351,,162,,
242,"Herrera, Odubel",PHI,OF,243.69,136,356,,162,,
243,"Mancini, Trey",BAL,"OF, 1B",243.78,184,317,,162,,
244,"Astudillo, Willians",MIN,C,244.64,115,383,,161,,
245,"Chirinos, Robinson",HOU,C,245.12,175,325,,162,,
246,"Greene, Shane",DET,P,245.83,133,414,,162,,
247,"Godley, Zack",ARZ,P,246.8,181,317,,162,,
248,"Nelson, Jimmy",MLW,P,247.55,187,333,,162,,
249,"Cabrera, Asdrubal",TEX,"2B, SS, 3B",248.82,160,413,,161,,
250,"Kepler, Max",MIN,OF,249.03,176,331,,162,,
251,"Alonso, Peter",NYM,1B,251.38,130,334,,162,,
252,"LeMahieu, DJ",NYY,2B,251.74,108,356,,160,,
253,"White, Tyler",HOU,1B,252.85,182,384,,162,,
