Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
149,"Hamels, Cole",CHC,P,147.7,106,204,,135,,
150,"Knebel, Corey",MLW,P,149.79,87,255,,135,,
151,"Devers, Rafael",BOS,3B,150.47,96,204,,135,,
152,"Moustakas, Mike",MLW,3B,150.91,113,185,,135,,
153,"Pivetta, Nick",PHI,P,155.84,122,189,,135,,
154,"Mazara, Nomar",TEX,OF,156.06,109,206,,135,,
155,"Rodriguez, Eduardo",BOS,P,157,112,218,,135,,
156,"Bieber, Shane",CLE,P,157.59,112,217,,135,,
157,"Darvish, Yu",CHC,P,157.99,120,191,,135,,
158,"Moncada, Yoan",CWS,2B,158.05,110,212,,135,,
159,"Porcello, Rick",BOS,P,159.87,109,210,,135,,
160,"Cabrera, Miguel",DET,1B,165.08,113,249,,135,,
161,"Eovaldi, Nathan",BOS,P,166.45,108,214,,135,,
162,"Nimmo, Brandon",NYM,OF,168.16,97,203,,135,,
163,"Hamilton, Billy",KC,OF,169.42,100,299,,135,,
164,"Glasnow, Tyler",TB,P,170.01,120,225,,135,,
165,"Heaney, Andrew",LAA,P,170.19,130,214,,135,,
166,"Bader, Harrison",STL,OF,170.47,111,256,,135,,
167,"Hosmer, Eric",SD,1B,170.76,135,220,,135,,
168,"Escobar, Eduardo",ARZ,"3B, SS",171.96,128,242,,135,,
169,"Hill, Rich",LAD,P,174.44,119,237,,135,,
170,"Alvarado, Jose",TB,P,174.71,111,287,,135,,
171,"Andrus, Elvis",TEX,SS,175.08,92,263,,135,,
172,"Renfroe, Hunter",SD,OF,178.33,134,242,,135,,
173,"Keuchel, Dallas",HOU,P,178.36,142,219,,135,,
174,"Hernandez, Cesar",PHI,2B,178.7,133,227,,135,,
175,"Kikuchi, Yusei",SEA,P,179.07,96,300,,135,,
176,"Lester, Jon",CHC,P,182.33,61,231,,135,,
177,"Ryu, Hyun-Jin",LAD,P,182.96,142,239,,135,,
178,"Meadows, Austin",TB,OF,183.39,143,240,,135,,
179,"Schoop, Jonathan",MIN,2B,184.06,136,268,,135,,
180,"Buxton, Byron",MIN,OF,185.34,127,270,,135,,
181,"Quintana, Jose",CHC,P,186.98,151,227,,135,,
182,"Gurriel, Yuli",HOU,"1B, 3B",187.7,125,322,,135,,
183,"DeJong, Paul",STL,SS,189.44,140,263,,135,,
184,"Voit, Luke",NYY,1B,190.62,90,294,,135,,
185,"Reyes, Alex",STL,P,193.27,71,287,,135,,
186,"Laureano, Ramon",OAK,OF,193.44,126,288,,135,,
187,"Martinez, Jose",STL,"1B, OF",195.47,131,299,,135,,
188,"Gray, Jon",COL,P,200.16,155,257,,135,,
189,"Hampson, Garrett",COL,SS,200.55,123,302,,135,,
190,"Gausman, Kevin",ATL,P,200.65,145,244,,135,,
191,"Schwarber, Kyle",CHC,OF,201,141,264,,135,,
192,"Dominguez, Seranthony",PHI,P,203.01,118,365,,135,,
193,"Winker, Jesse",CIN,OF,203.1,147,277,,135,,
194,"Newcomb, Sean",ATL,P,205.27,124,297,,135,,
195,"James, Josh",HOU,P,205.55,146,288,,135,,
196,"Dickerson, Corey",PIT,OF,205.79,153,261,,135,,
197,"Lucchesi, Joey",SD,P,206.04,161,292,,135,,
198,"Wendle, Joey",TB,"2B, 3B",206.38,155,283,,135,,
199,"Santana, Carlos",CLE,1B,206.69,142,309,,135,,
200,"Smith, Will",SF,P,208.26,138,353,,135,,
201,"Semien, Marcus",OAK,SS,208.39,164,296,,135,,
202,"Eaton, Adam",WAS,OF,209.21,161,261,,135,,
203,"Reyes, Franmil",SD,OF,209.73,126,303,,135,,
204,"Vizcaino, Arodys",ATL,P,210.16,141,348,,135,,
205,"Adames, Willy",TB,SS,210.73,151,320,,135,,
206,"Polanco, Jorge",MIN,SS,212.46,131,321,,135,,
207,"Taylor, Chris",LAD,"SS, OF",212.68,129,307,,135,,
208,"Braun, Ryan",MLW,OF,215.34,152,267,,135,,
