name,status,age,team,pos,,,,,,,,,,,,,
Carlos Santana,,30,CLE,1B,9,104,9,1,75,74,0.971945278,3.668740556,-1.18550669,1.004502647,1.366031501,0.182368919,-0.395451098
Jason Kipnis,Injury,29,CLE,2B,11,105,9,0.997882487,62,104,-0.160615343,3.286482001,0.043373087,-0.679763307,0.539742362,-0.570250145,0.50628266
Ken Giles,,26,HOU,RP,9,106,9,0.999999996,126,114,-0.453740819,2.865528578,-1.383720876,1.874141392,-1.103175405,0.151414589,0.007599481
Kelvin Herrera,,27,KC,RP,12,106,9,0.985984434,135,121,-0.720155844,2.599113552,-1.603271161,1.789949734,-1.441381029,0.158364935,0.376181676
Justin Turner,,32,LAD,3B,14,108,9,0.999996963,89,119,-0.677009245,2.643541672,0.618264469,-0.123633923,-0.511951784,-0.070042314,-0.589645693
Cody Allen,,28,CLE,RP,15,109,9,1,149,144,-1.210710606,2.10855879,-1.45517451,1.621566418,-1.301714509,-0.053984565,-0.021403439
Aaron Sanchez,,24,TOR,SP,47,110,9,0.999999999,158,142,-1.184363091,1.948968015,0.700978955,-0.483225038,0.322369933,-0.556572478,-1.167914462
Jose Ramirez,,24,CLE,3B,12,111,9,1,97,112,-0.322470771,2.998080147,0.851382926,-1.402167634,-0.55777824,-0.643781955,1.429874134
Jackie Bradley Jr.,,26,BOS,OF,31,112,9,0.999999848,197,156,-1.683419907,1.613418907,-0.695440558,-0.235933654,-0.30291994,-0.259319787,-0.189805967
Dustin Pedroia,,33,BOS,2B,12,113,9,1,115,132,-0.990901384,2.456195961,1.236121489,-1.240219819,0.222864536,-0.796796655,-0.412870935
Danny Salazar,,27,CLE,SP,36,114,9,0.999999998,98,110,-0.281779746,2.85155136,0.618290646,-0.483225038,0.564476186,-0.230104617,-0.751216923
Jeurys Familia,,27,NYM,RP,16,115,9,1,144,149,-1.392779923,1.926489473,-1.632380483,2.379291342,-1.703077468,-0.11050554,-0.326107774
Adam Eaton,,28,WAS,OF,18,116,9,1,153,72,1.070646671,4.367485485,1.108856428,-1.235847115,1.26882612,-0.634958895,0.563770132
Andrew Miller,,31,CLE,RP,4,116,9,0.999998313,96,69,1.365934141,4.685203537,-1.219418294,0.442883202,-0.747101972,1.172028768,1.717542436
Felix Hernandez,,30,SEA,SP,44,118,10,0.999932781,142,133,-1.030151834,2.103179272,0.722795262,-0.483225038,0.423858551,-0.499370439,-1.19421017
Stephen Piscotty,,26,STL,OF,22,118,10,1,156,109,-0.253553313,3.043285501,-0.02662444,-0.208466293,-0.089915086,0.278166138,-0.206713631
Andrew Benintendi,,22,BOS,OF,43,120,10,0.999999999,185,199,-2.630139737,0.666699077,0.463534629,-1.288747714,-1.15892568,-0.916621516,0.270620543
Rich Hill,Target,37,LAD,SP,17,121,10,1,79,59,1.603018172,4.736349278,0.17028092,-0.483225038,0.038401702,1.091151258,0.786409331
Lorenzo Cain,,30,KC,OF,28,122,10,1,162,134,-1.067366806,2.229472008,0.675524008,-1.310120293,-0.808350074,-0.599830865,0.975410418
Addison Russell,,23,CHC,SS,12,123,10,0.999997712,148,222,-3.149894675,0.478800082,-1.347111626,-0.069957271,-0.680506247,-0.614398003,-0.437921529
Alex Colome,,28,TB,RP,14,124,10,1,147,138,-1.148648854,2.170620542,-1.704293171,2.379291342,-1.625313227,-0.064605289,-0.13372851
Albert Pujols,,37,LAA,DH,3,125,10,0.999999999,88,70,1.173412424,4.084662732,-0.27489859,1.045022484,-0.211106122,1.313724232,-0.699329579
Miguel Sano,,23,MIN,3B,13,126,10,1,110,113,-0.355405755,2.965145163,-1.750016603,1.35607766,0.015419518,0.783404755,-0.760291084
Odubel Herrera,,25,PHI,OF,27,127,10,0.999999999,166,130,-0.946935112,2.349903702,0.381930316,-1.094550689,0.093280992,-1.438270573,1.110674842
Michael Fulmer,,24,DET,SP,46,128,10,1,139,139,-1.161573516,1.97175759,0.468370752,-0.483225038,0.101459014,-0.626287671,-0.621890573
Dallas Keuchel,,29,HOU,SP,19,129,10,0.999999329,104,66,1.41182955,4.545160656,1.154234431,-0.483225038,0.529723831,0.417070303,-0.205973976
Eduardo Nunez,,29,SF,3B,18,130,11,0.999999997,146,233,-3.320550917,0,0.155760067,-1.298836671,-2.129815619,-1.709794932,1.662136237
Evan Gattis,,30,HOU,DH,11,131,11,1,173,294,-4.431302916,-1.520052608,-1.118802973,0.172374669,-1.390084651,-1.165753909,-0.929036051
Marcus Stroman,,25,TOR,SP,42,132,11,1,161,128,-0.835020883,2.298310223,0.595671756,-0.483225038,0.139787181,-0.363536328,-0.723718454
Troy Tulowitzki,,32,TOR,SS,11,133,11,0.999999836,137,215,-2.980123487,0.64857127,-0.541444465,0.193226278,-1.018383479,-0.680172737,-0.933349083
Aledmys Diaz,,26,STL,SS,10,134,11,0.999999928,154,210,-2.874508376,0.754186381,0.075009871,-0.890632266,-0.634751634,-1.179096146,-0.245038201
J.T. Realmuto,,26,MIA,C,6,135,11,1,141,303,-4.719864333,2.87813775,0.082046263,-1.393755248,-1.921512352,-1.551816734,0.065173738
David Robertson,,31,CHW,RP,17,136,11,1,155,152,-1.518682321,1.800587075,-1.576240467,2.379291342,-1.474038251,-0.53480075,-0.312894195
Matt Harvey,,28,NYM,SP,38,137,11,0.999999508,123,117,-0.657195053,2.476136053,0.084444752,-0.483225038,-0.090085228,-0.185846174,0.017516636
Kevin Gausman,Target,26,BAL,SP,40,138,11,1,125,122,-0.755221105,2.378110001,0.542422621,-0.483225038,0.714112152,-0.910863724,-0.617667114
Jose Peraza,Sleeper,22,CIN,SS,9,139,11,0.999999999,203,203,-2.687396624,0.941298133,0.776065282,-2.131359176,-1.63998468,-1.963938539,2.271820488
Maikel Franco,,24,PHI,3B,11,140,11,1,90,98,0.084500932,3.405051849,-0.155026079,0.652234753,-0.219350362,0.64193902,-0.8352964
